C:\Users\ma1008\Documents\Audio Precision\ATS 1.60\Quick Launch\A-A FFT.ats2, 12/19/14 16:18:49
FFT.Frequency,     FFT.ChA Amplitude, ,FFT.ChB Amplitude, ,,,,
Source 1,          Data 1,            ,Data 3,            ,,,,
Hz,                dBV,               ,dBV,               ,,,,
24.4702495057,     -98.708496924,     ,-81.3835633722,    ,,,,
24.9580263859,     -98.708496924,     ,-81.3835633722,    ,,,,
25.4555263501,     -98.708496924,     ,-81.3835633722,    ,,,,
25.9629432131,     -98.708496924,     ,-81.3835633722,    ,,,,
26.4804746527,     -97.4618083091,    ,-83.2503081137,    ,,,,
27.0083222874,     -97.4618083091,    ,-83.2503081137,    ,,,,
27.5466917548,     -97.4618083091,    ,-83.2503081137,    ,,,,
28.0957927918,     -97.4618083091,    ,-83.2503081137,    ,,,,
28.6558393147,     -97.4618083091,    ,-83.2503081137,    ,,,,
29.2270495072,     -97.4618083091,    ,-83.2503081137,    ,,,,
29.8096458977,     -97.4618083091,    ,-83.2503081137,    ,,,,
30.4038554532,     -96.7230637143,    ,-84.8800671189,    ,,,,
31.0099096643,     -96.7230637143,    ,-84.8800671189,    ,,,,
31.6280446369,     -96.7230637143,    ,-84.8800671189,    ,,,,
32.2585011814,     -96.7230637143,    ,-84.8800671189,    ,,,,
32.9015249098,     -96.7230637143,    ,-84.8800671189,    ,,,,
33.5573663302,     -96.7230637143,    ,-84.8800671189,    ,,,,
34.2262809426,     -97.1538426282,    ,-86.1556481425,    ,,,,
34.9085293422,     -97.1538426282,    ,-86.1556481425,    ,,,,
35.6043773163,     -97.1538426282,    ,-86.1556481425,    ,,,,
36.3140959525,     -97.1538426282,    ,-86.1556481425,    ,,,,
37.03796174,       -97.1538426282,    ,-86.1556481425,    ,,,,
37.7762566824,     -97.1538426282,    ,-86.1556481425,    ,,,,
38.5292684017,     -99.0709192296,    ,-87.1786753254,    ,,,,
39.2972902535,     -99.0709192296,    ,-87.1786753254,    ,,,,
40.0806214428,     -99.0709192296,    ,-87.1786753254,    ,,,,
40.8795671379,     -99.0709192296,    ,-87.1786753254,    ,,,,
41.6944385897,     -99.0709192296,    ,-87.1786753254,    ,,,,
42.5255532535,     -100.946514794,    ,-87.6694951899,    ,,,,
43.3732349128,     -100.946514794,    ,-87.6694951899,    ,,,,
44.2378138062,     -100.946514794,    ,-87.6694951899,    ,,,,
45.119626753,      -100.946514794,    ,-87.6694951899,    ,,,,
46.0190172875,     -100.092992022,    ,-87.4990211396,    ,,,,
46.9363357928,     -100.092992022,    ,-87.4990211396,    ,,,,
47.8719396349,     -100.092992022,    ,-87.4990211396,    ,,,,
48.8261933038,     -100.092992022,    ,-87.4990211396,    ,,,,
49.7994685564,     -100.092992022,    ,-87.4990211396,    ,,,,
50.7921445575,     -99.5542456366,    ,-88.2417467299,    ,,,,
51.8046080321,     -99.5542456366,    ,-88.2417467299,    ,,,,
52.8372534122,     -99.5542456366,    ,-88.2417467299,    ,,,,
53.8904829938,     -99.5542456366,    ,-88.2417467299,    ,,,,
54.9647070905,     -100.74465066,     ,-89.7098268629,    ,,,,
56.0603441978,     -100.74465066,     ,-89.7098268629,    ,,,,
57.1778211491,     -100.74465066,     ,-89.7098268629,    ,,,,
58.3175732885,     -102.51462254,     ,-90.0228169256,    ,,,,
59.4800446387,     -102.51462254,     ,-90.0228169256,    ,,,,
60.6656880714,     -102.51462254,     ,-90.0228169256,    ,,,,
61.874965487,      -102.51462254,     ,-90.0228169256,    ,,,,
63.1083479933,     -103.757098171,    ,-90.4009773506,    ,,,,
64.3663160866,     -103.757098171,    ,-90.4009773506,    ,,,,
65.6493598437,     -103.757098171,    ,-90.4009773506,    ,,,,
66.9579791101,     -103.746513366,    ,-90.7965130633,    ,,,,
68.2926836945,     -103.746513366,    ,-90.7965130633,    ,,,,
69.6539935656,     -103.746513366,    ,-90.7965130633,    ,,,,
71.0424390612,     -103.031195579,    ,-90.6636729249,    ,,,,
72.458561088,      -103.031195579,    ,-90.6636729249,    ,,,,
73.9029113334,     -103.031195579,    ,-90.6636729249,    ,,,,
75.3760524858,     -102.860847821,    ,-90.8129635415,    ,,,,
76.8785584476,     -102.860847821,    ,-90.8129635415,    ,,,,
78.4110145597,     -103.23706352,     ,-91.6451376784,    ,,,,
79.9740178324,     -103.23706352,     ,-91.6451376784,    ,,,,
81.5681771785,     -103.23706352,     ,-91.6451376784,    ,,,,
83.1941136448,     -102.296761381,    ,-92.6759611671,    ,,,,
84.852460661,      -102.296761381,    ,-92.6759611671,    ,,,,
86.5438642791,     -100.924192083,    ,-93.4355149265,    ,,,,
88.2689834349,     -100.924192083,    ,-93.4355149265,    ,,,,
90.0284901932,     -101.01756279,     ,-94.3194498553,    ,,,,
91.8230700195,     -101.01756279,     ,-94.3194498553,    ,,,,
93.6534220409,     -101.01756279,     ,-94.3194498553,    ,,,,
95.5202593226,     -102.045153618,    ,-95.127744112,     ,,,,
97.4243091401,     -102.045153618,    ,-95.127744112,     ,,,,
99.3663132703,     -102.657617977,    ,-95.4390214128,    ,,,,
101.347028273,     -102.657617977,    ,-95.4390214128,    ,,,,
103.367225791,     -102.21338499,     ,-95.4931845865,    ,,,,
105.427692846,     -102.21338499,     ,-95.4931845865,    ,,,,
107.529232152,     -101.790559621,    ,-95.8101683124,    ,,,,
109.672662418,     -101.790559621,    ,-95.8101683124,    ,,,,
111.858818679,     -102.852970257,    ,-96.3243383997,    ,,,,
114.088552611,     -104.870911649,    ,-96.6949132852,    ,,,,
116.362732867,     -104.870911649,    ,-96.6949132852,    ,,,,
118.682245418,     -105.081336327,    ,-96.5769572023,    ,,,,
121.047993893,     -105.081336327,    ,-96.5769572023,    ,,,,
123.460899934,     -103.924093386,    ,-95.8189401527,    ,,,,
125.921903555,     -103.924093386,    ,-95.8189401527,    ,,,,
128.431963507,     -102.802848845,    ,-95.2643749041,    ,,,,
130.992057654,     -102.183584958,    ,-95.4267001356,    ,,,,
133.60318335,      -102.183584958,    ,-95.4267001356,    ,,,,
136.26635783,      -102.295120296,    ,-96.0120251237,    ,,,,
138.982618607,     -102.244622308,    ,-96.8381783609,    ,,,,
141.753023876,     -102.244622308,    ,-96.8381783609,    ,,,,
144.578652923,     -99.4022749573,    ,-96.1896822876,    ,,,,
147.46060655,      -96.4895869532,    ,-93.8838970928,    ,,,,
150.4000075,       -96.1215532744,    ,-93.3362465359,    ,,,,
153.3980009,       -96.1215532744,    ,-93.3362465359,    ,,,,
156.455754698,     -98.1440550702,    ,-94.4730205287,    ,,,,
159.574460126,     -100.359128113,    ,-95.0227554172,    ,,,,
162.755332163,     -101.394758895,    ,-95.2605246285,    ,,,,
165.999610003,     -101.394758895,    ,-95.2605246285,    ,,,,
169.308557545,     -102.997650212,    ,-96.2531400411,    ,,,,
172.683463878,     -104.695894721,    ,-97.5301447111,    ,,,,
176.125643793,     -105.214653275,    ,-98.2588636166,    ,,,,
179.636438281,     -104.489887906,    ,-98.2679603119,    ,,,,
183.217215072,     -103.861428303,    ,-98.0565295639,    ,,,,
